word,fav,rt,date,rep
abases,2.0,0.0,2014-05-16 14:00:00,0.0
abash,3.0,0.0,2014-05-16 14:30:00,0.0
abashed,2.0,0.0,2014-05-16 15:00:00,0.0
abashedly,8.0,7.0,2014-05-16 15:30:00,0.0
abashes,3.0,0.0,2014-05-16 16:00:00,0.0
abashing,3.0,0.0,2014-05-16 16:30:00,0.0
abashment,3.0,3.0,2014-05-16 17:00:00,0.0
abashments,4.0,0.0,2014-05-16 17:30:00,0.0
abasing,3.0,1.0,2014-05-16 18:00:00,1.0
abatable,3.0,0.0,2014-05-16 18:30:00,0.0
abate,3.0,0.0,2014-05-16 19:16:00,0.0
abated,4.0,0.0,2014-05-16 19:30:00,0.0
abatement,4.0,2.0,2014-05-16 20:00:00,1.0
abatements,5.0,0.0,2014-05-16 20:20:00,1.0
abater,6.0,6.0,2014-05-16 21:00:00,0.0
abaters,4.0,4.0,2014-05-16 21:30:00,0.0
abates,4.0,1.0,2014-05-16 22:00:00,0.0
abating,4.0,1.0,2014-05-16 22:30:00,0.0
abatis,4.0,0.0,2014-05-16 23:00:00,0.0
abatises,5.0,0.0,2014-05-16 23:30:00,0.0
abdication,4.0,2.0,2014-05-17 15:00:00,0.0
abdications,7.0,5.0,2014-05-17 15:30:00,0.0
abdomen,14.0,8.0,2014-05-17 16:00:00,0.0
abdomens,58.0,69.0,2014-05-17 16:30:00,0.0
abdominal,6.0,7.0,2014-05-17 17:00:00,0.0
abdominally,11.0,9.0,2014-05-17 17:30:00,0.0
abduct,5.0,3.0,2014-05-17 17:40:00,0.0
abducted,6.0,3.0,2014-05-17 17:50:00,0.0
abducting,16.0,10.0,2014-05-17 18:00:00,0.0
abduction,9.0,12.0,2014-05-17 18:30:00,0.0
abductions,23.0,20.0,2014-05-17 18:47:00,0.0
abductor,7.0,3.0,2014-05-17 19:30:00,0.0
abductors,13.0,11.0,2014-05-17 20:00:00,0.0
abducts,6.0,5.0,2014-05-17 20:30:00,0.0
abeam,3.0,4.0,2014-05-17 21:00:00,0.0
abecedarian,7.0,4.0,2014-05-17 21:30:00,0.0
abecedarians,6.0,4.0,2014-05-17 22:00:00,0.0
aberdeen,41.0,45.0,2014-05-17 22:30:00,5.0
abed,41.0,33.0,2014-05-17 23:00:00,3.0
aberrance,5.0,0.0,2014-05-17 23:30:00,0.0
abhorrer,4.0,1.0,2014-05-18 14:30:00,0.0
abhorrers,7.0,1.0,2014-05-18 15:00:00,0.0
abhorring,6.0,1.0,2014-05-18 15:30:00,0.0
abhors,8.0,0.0,2014-05-18 16:00:00,0.0
abidance,6.0,3.0,2014-05-18 16:30:00,0.0
abide,8.0,1.0,2014-05-18 17:00:00,0.0
abided,5.0,2.0,2014-05-18 17:30:00,0.0
abider,6.0,2.0,2014-05-18 18:00:00,0.0
abiders,10.0,8.0,2014-05-18 18:30:00,0.0
abides,7.0,4.0,2014-05-18 19:00:00,0.0
abiding,16.0,20.0,2014-05-18 19:30:00,1.0
abidingly,18.0,9.0,2014-05-18 20:00:00,0.0
abidingness,6.0,3.0,2014-05-18 20:20:00,0.0
abigail,54.0,59.0,2014-05-18 20:30:00,10.0
abilene,5.0,2.0,2014-05-18 21:00:00,1.0
abilities,44.0,42.0,2014-05-18 21:30:00,2.0
ability,46.0,44.0,2014-05-18 22:00:00,4.0
abiotic,8.0,2.0,2014-05-18 22:30:00,0.0
abject,8.0,1.0,2014-05-18 23:00:00,0.0
abjection,9.0,2.0,2014-05-18 23:30:00,0.0
ablush,5.0,2.0,2014-05-19 14:30:00,0.0
abluted,2.0,1.0,2014-05-19 15:01:00,0.0
ablution,4.0,1.0,2014-05-19 15:30:00,0.0
ablutionary,2.0,1.0,2014-05-19 16:00:00,1.0
ablutions,4.0,2.0,2014-05-19 16:30:00,0.0
ably,9.0,6.0,2014-05-19 17:00:00,0.0
abnegate,5.0,0.0,2014-05-19 17:30:00,0.0
abnegated,4.0,0.0,2014-05-19 18:00:00,0.0
abnegates,2.0,4.0,2014-05-19 18:30:00,0.0
abnegating,1.0,2.0,2014-05-19 19:00:00,0.0
abnegation,15.0,19.0,2014-05-19 19:30:00,4.0
abnegations,6.0,4.0,2014-05-19 20:00:00,0.0
